community_name,room_area,room_decoration,room_direction,room_floor,room_location,room_type,room_year,title,unti_price
良城美景家园,108,精装,南 北,中楼层/共11层,秦淮,3室2厅,2005,电梯 厅朝南带阳台 楼层好 精装修 有地暖 业主诚心卖,30874

华电三宿舍,52,平层/简装,南 北,高楼层/共4层,栖霞,2室1厅,1985,迈皋桥地铁 华电三宿舍 顶楼送阁楼 满五唯一 适合刚需,22949

花开四季,124,错层/精装,南 北,低楼层/共17层,鼓楼,3室2厅,2003,小区中间位置 电梯三房 满五年唯一 赠送地下室,46604

丹佛小镇,64,平层/简装,南,低楼层/共11层,江宁,2室1厅,2009,丹佛小镇 两房朝南 精装 总价低 诚心出售,26365

风光里小区,71,平层/简装,南,中楼层/共7层,秦淮,3室1厅,2003,洪家园 南部新城 南北通透 宜家 中医院 大明路,31826

威尼斯水城第一街区,107,平层/简装,南 北,中楼层/共10层,浦口,3室2厅,2015,房子南北通透 中间楼层 距离3号线柳洲东路站722米,21951

爱涛翠湖花园,143,毛坯,南 北,高楼层/共10层,江宁,3室2厅,2009,爱涛翠湖花园 不靠高速 中间楼层 新空毛坯 带车位,24450

天润城第十四街区,65,平层/精装,南 北,中楼层/共18层,浦口,2室2厅,2012,通透格局 楼层好 采光充足 交通便利,25825

云燕园小区,77,跃层/简装,南 北,高楼层/共6层,鼓楼,5室1厅,1970,此房满五年税费少 小区刚刚出新 ，顶楼带阁楼动静分离,32777

百家湖西花园伦敦城,45,平层/精装,西南,中楼层/共16层,江宁,1室1厅,2006,百家湖西花园伦敦城 满两年 楼层好 采光棒 小区环境好,31230

火瓦巷,66,平层/其他,南 北,高楼层/共7层,秦淮,3室1厅,1989,三初钟英 南北通透 采光充足 双阳台 独立小区,49647

雯锦雅苑,116,其他,南 北,高楼层/共11层,玄武,3室2厅,2005,玄武 三房 楼层佳 采光好 通透 精装 满五唯一 配套全,29696

普华巷,68,平层/精装,南 北,中楼层/共7层,秦淮,2室1厅,1987,中楼层 户型方正 南北通透 小区环境好 五老村,38920

江雁依山郡,179,跃层/简装,南 北,低楼层/共6层,鼓楼,5室2厅,2013,五塘广场 居家装修 低楼层 带电梯 交通出行方便,32925

鸿意星城,67,平层/精装,南 西,中楼层/共10层,秦淮,1室1厅,2007,鸿意星城 满五年唯一 银城物业 中上楼层 居家精装修,29104

月光广场,92,简装,南,低楼层/共32层,鼓楼,2室1厅,2000,月光C户型 拎包入住 产权清晰 满五年,30922

御道街34号,77,平层/精装,南 北,高楼层/共6层,秦淮,3室1厅,1996,満五无个税 看房方便 小区安静 师资雄厚,33347

和燕路小区,67,平层/简装,南 北,高楼层/共7层,栖霞,2室1厅,1998,和燕路 次顶楼 刚需房 小面积 户型方正 通透性佳,21810

蓝旗新村,62,平层/简装,南 北,中楼层/共6层,秦淮,3室0厅,1985,御道街  2011年装修 无增值税 户型方正 采光好,27977

健园,74,精装,南 北,低楼层/共6层,建邺,3室1厅,1996,南苑健园低楼层精装修双南一北三房有车位采光好,32336

健园,74,平层/精装,南 北,高楼层/共6层,建邺,3室1厅,1996,满五无其他房产 婚装 采光无遮挡 配套齐全 交通方便,29781

亚东城西区,51,平层/精装,南,低楼层/共18层,栖霞,2室1厅,2009,精装修 采光好 户型方正 朝南 交通便利,39484

鸿意万嘉,81,精装,南,中楼层/共11层,江宁,2室1厅,2012,鸿意万嘉 刚需两房 采光充足 环境优美,28273

天润城第八街区,82,平层/精装,南 北,中楼层/共11层,浦口,2室2厅,2008,品质小区 居家精装修 中高楼层 视野开阔 税费少,23623

润花园,86,平层/其他,南 北,中楼层/共11层,建邺,2室2厅,2006,润花园满五年无个税电梯景观两房精装修配套成熟,42863

育才公寓,66,平层/精装,南 北,中楼层/共6层,鼓楼,2室1厅,2000,满五年，居家装修，南北通透，户口不占,66578

棉鞋营小区,98,平层/精装,南 北,中楼层/共7层,秦淮,3室2厅,1997,满五年 四五四医院 交通便利 配套齐全 常府街,34975

港龙园,66,平层/其他,南,中楼层/共6层,鼓楼,2室1厅,1996,中间楼层 两房朝南 房子带有暖气,38445

东郊小镇第六街区,99,平层/毛坯,南 北,高楼层/共6层,江宁,3室2厅,2010,东郊小镇第六街区毛坯3房 户型方正 中间楼层 出行方便,18817

翠屏湾花园城,82,精装,东 西,中楼层/共5层,江宁,2室2厅,2005,翠屏湾花园城精装两房可拎包入住,22551

清江花苑绿茵园,82,平层/精装,南 北,中楼层/共7层,鼓楼,2室2厅,2000,树人施教区不占用 双卧朝南 采光充足 精装修 拎包住,53992

城开家园,118,平层/简装,南 北,高楼层/共16层,秦淮,3室2厅,2004,此房满五唯一 南北通透 采光充足 电梯好房,35171

公园路44号,68,简装,南 北,高楼层/共6层,秦淮,3室1厅,1983,公园路44号 满五唯一 诚心出售,29176

观城,103,平层/精装,东 南 北,低楼层/共25层,秦淮,3室2厅,2009,超百平空中花园  三初钟英 张府园地铁口 百万婚装,51213

新城市广场,57,跃层/精装,南,中楼层/共18层,鼓楼,3室1厅,2005,龙江新城市广场，地理位置优越，居家装修，挑高3房,51940

苏建豪庭,134,平层/精装,南 北,低楼层/共17层,建邺,3室2厅,2005,应天大街 庐山路 苏建 露台 电梯三房 业主诚售,32603

大纱帽巷40号,52,平层/简装,南 北,中楼层/共7层,玄武,2室1厅,1990,珠江路 南北通透两居室 满五年 采光好,56801

桃园人家,130,平层/简装,南,高楼层/共11层,秦淮,3室2厅,2005,三山街 桃园人家 满五年 双南一北采光好视野开阔,41462

武夷绿洲品茗苑,99,平层/精装,南 北,中楼层/共11层,江宁,2室2厅,2010,武夷绿洲品茗苑，居家装， 楼层好,27407

天润城第十二街区,68,平层/简装,南,低楼层/共18层,浦口,2室1厅,2012,天润城 居家装修两房 业主诚心卖房 小区主力户型,24858

托乐嘉旺邻居,127,平层/精装,南,高楼层/共17层,江宁,3室2厅,2015,三开间朝南 一梯一户 赠送一个入户花园,36076

东郊小镇第一街区,59,复式/其他,东 南,中楼层/共7层,江宁,2室1厅,2006,精装大挑高 边户每个功能间都有窗户 采光好 出行方便,25933

诚品城,98,平层/精装,南 北,高楼层/共6层,栖霞,3室2厅,2009,诚品城 精装好房，地理位置优越 家具家电全留交通便利,27823

东郊小镇第六街区,77,平层/毛坯,南 北,高楼层/共6层,江宁,2室1厅,2010,东郊两房满两年纯毛坯有钥匙看房方便,19338

瑞金北村,60,平层/简装,东 南,中楼层/共7层,秦淮,2室1厅,1997,满五年 中间楼层 房龄新1997年 采光充足 视野开阔,37105

文化名园云水苑,190,精装,南 北,高楼层/共6层,江宁,4室2厅,2003,文化名园湖景房 户型好 带露台,28356

威尼斯水城第六街区,87,平层/简装,南 北,中楼层/共11层,浦口,2室1厅,2005,楼层好  采光充足 南北通透 业主诚心卖房,21802

左邻右里,89,平层/其他,南 北,中楼层/共11层,江宁,2室1厅,2010,南部新城岔路口双龙大道左邻右里秦淮河景两房,31745

天润城第十街区,89,平层/精装,南 北,高楼层/共11层,浦口,3室2厅,2009,天润城第十街区  采光充足  环境好,25636

新城市广场,57,精装,南,高楼层/共18层,鼓楼,3室2厅,2005,◆◆龙江芳草园分校施教区◆前面无遮挡◆地铁口◆◆,51814

力联大厦,97,平层/精装,南 北,中楼层/共31层,秦淮,2室2厅,2012,钟英火瓦巷 户部街 扬子石化房改房 大洋苏宁旁 全明,36882

钓鱼巷小区,48,平层/精装,南 北,高楼层/共6层,秦淮,2室1厅,1988年建/板楼,交通便利 地铁口 配套成熟 夫子庙 小区出新,30011

左邻右里,74,平层/精装,南,中楼层/共11层,江宁,2室1厅,2010年建/板楼,南站商圈，户型方正，配套齐全，出行方便,33356

小市新村,43,平层/简装,南,高楼层/共7层,鼓楼,2室1厅,未知年建/暂无数据,小市新村 双卧朝南全明户型，总价低，出行方便。,23623

锁金四村,71,平层/简装,南 北,低楼层/共6层,玄武,3室1厅,1985年建/板楼,锁金四村 3室1厅 225万,31272

积善新寓睦和园,122,平层/简装,南 北,低楼层/共9层,建邺,4室2厅,2003年建/板塔结合,满五年 东边户  小区环境还可以  交通便利,30560

兴达新寓一村,54,平层/简装,南 北,中楼层/共7层,建邺,2室1厅,1999年建/板楼,兴达新寓185万 南北两房 毛坯 中间楼层,34165

天琪雅居,84,平层/简装,南 北,高楼层/共6层,江宁,2室2厅,2005年建/板塔结合,南北通透格局 户型方正 采光充足,28287

丹佛小镇,77,简装,南 北,高楼层/共11层,江宁,2室2厅,2009年建/板楼,丹佛小镇  居家三房  南北通透  有电梯,24527

中和桥5号,52,平层/精装,南 北,中楼层/共7层,秦淮,2室1厅,1992年建/板塔结合,居家精装不临街 中间楼层 房龄新 小区已出新 总价低,28315

西华东村社区,66,平层/精装,南,低楼层/共6层,秦淮,3室1厅,1992年建/板楼,"西安门,地铁口, 1楼带20平方院子,精装3房, 拎包入住",41181

21世纪国际公寓,82,平层/其他,南,中楼层/共31层,江宁,2室1厅,2011年建/塔楼,国际公寓  高性价两房 满两年 楼层好 百家湖繁华地段,33911

景明佳园谐景苑,70,平层/简装,南 北,中楼层/共6层,雨花台,2室1厅,1999年建/板塔结合,景明佳园 南北通透两室 楼层好 总价低 商品房,24425

万科金色里程,72,跃层/精装,南 北,高楼层/共8层,雨花台,2室2厅,2010年建/板塔结合,楼层好，采光充足，视野好，方便看房，满五唯一,32937

五十五所宿舍区,85,平层/精装,南 北,低楼层/共11层,秦淮,2室1厅,2005年建/板塔结合,户型方正 电梯架空 带地下车位 2007年房龄 很着急卖房,35503

诚品城,99,平层/其他,南 北,中楼层/共5层,栖霞,3室2厅,2009年建/板楼,诚品城 好房  精装 看房方便,28581

天印大道1201号,73,平层/其他,南 北,高楼层/共4层,江宁,2室1厅,未知年建/板塔结合,户型方正，南北通透，使用面积大，配套成熟,21675

双塘里,60,平层/精装,南 北,中楼层/共7层,秦淮,2室1厅,1997年建/板楼,三山街 中间楼层 居家装修 交通便利 配套齐全,29684

裕顺雅苑,124,错层/简装,南 北,低楼层/共11层,鼓楼,3室2厅,2003年建/板塔结合,龙江裕顺雅苑 满五年，小区中间位置,40908

茶亭村,52,平层/简装,南 北,低楼层/共6层,建邺,3室1厅,1985年建/板楼,茶亭村 成熟社区 交通便利 连家店  满五唯一 带院子,49190

翠屏东南,183,精装,南 北,中楼层/共6层,江宁,5室2厅,2005年建/板楼,精装大四房 拎包入住 楼栋位置好 出行方便,24911

颐和南园,101,平层/简装,南,高楼层/共11层,江宁,2室1厅,2007年建/板塔结合,九龙湖 颐和南园 环境优美 通透大两房,31964

金川花苑,94,平层/精装,南,高楼层/共6层,鼓楼,3室2厅,2003年建/板楼,品质小区，精装修 小区安静 房龄新 看房方便,32354

御道街小区,55,平层/简装,南,低楼层/共3层,秦淮,2室1厅,1994年建/板楼,满五年唯一 御道街 业主诚心出售 中山东路 采光好,34897

豆菜桥小区,77,平层/简装,南 北,中楼层/共7层,鼓楼,3室1厅,1990年建/板楼,南北通透，双卧朝南，一房朝北的户型，交通方便,37338

露园,49,平层/简装,南 北,中楼层/共6层,建邺,2室1厅,1994年建/板楼,茶南 露园新上 两房 双南户型 全明通透,31038

天悦花园,84,复式/其他,南 北,高楼层/共6层,栖霞,3室2厅,2003年建/板楼,马群三房领包入住送阁楼，业主诚心出售。,27661

融侨中央花园2期,94,精装,南,中楼层/共18层,建邺,2室2厅,2010年建/塔楼,奥体 融侨 新上 精装两房 小区中间 高楼层 满二年,46857

新河一村,49,平层/简装,南 北,高楼层/共6层,鼓楼,2室1厅,1991年建/板楼,总价低小两房 满五年 南北通透 房龄新 采光充足,66908

枫丹白露白露新寓,112,平层/精装,南 北,中楼层/共8层,秦淮,3室2厅,2004年建/板楼,此房户型格局好，业主诚心出售，楼层好采光好,39884

瑞金新村,47,平层/精装,南,中楼层/共5层,秦淮,2室1厅,1979年建/板塔结合,满五年无个税 无遮挡 中间楼层 卫生间大精装修,41259

豆腐坊,55,平层/简装,南 北,中楼层/共6层,秦淮,2室1厅,1999年建/板楼,集庆门 三山街 中楼层 2000年房龄 采光好 南北通透,30965

名嘉佳园小区,92,平层/精装,南,中楼层/共11层,江宁,2室2厅,2006年建/板楼,名嘉佳园 电梯 两室一厅 中间楼层,26837

彩虹苑,90,平层/精装,南 北,中楼层/共7层,建邺,3室1厅,2000年建/板楼,彩虹苑 居家装修 双南一北户型 中间层采光好 配套齐全,32155

亚东城东区,131,平层/毛坯,南 北,高楼层/共16层,栖霞,3室2厅,2007年建/塔楼,东区大三房 视野好 房主诚心卖,32673

琥珀巷高层小区,71,平层/精装,南 北,中楼层/共24层,秦淮,2室1厅,1998年建/塔楼,白下路 大中桥 精装两房 四五四医院 郑和公园,30886

武夷绿洲品茗苑,128,精装,南 北,低楼层/共17层,江宁,3室2厅,2010年建/板楼,武夷绿洲品茗苑 竹山路地铁口 环境优美,26282

托乐嘉旺邻居,73,平层/精装,南 北,高楼层/共13层,江宁,2室1厅,2015年建/板楼,万科物业环境好，满五年，精装修品牌家具家电，拎包住,35996

华汇康城,136,精装,南 北,中楼层/共11层,江宁,4室2厅,2009年建/板塔结合,满五唯一，精装修，配套设施齐全，,16534

达美广场,106,其他,南,中楼层/共30层,秦淮,2室1厅,2000年建/板塔结合,达美广场  电梯直达  居家装修  采光好  视野佳,31127

桃园居,80,精装,南 北,高楼层/共6层,建邺,3室1厅,2002年建/板塔结合,精装三房  不临高架  业主诚售,37379

龙苑新寓四村,77,平层/简装,南 北,中楼层/共7层,秦淮,3室1厅,1998年建/板楼,大明路 南部新城 三卧朝南 中间楼层,29087

东城雅筑,120,平层/精装,南,高楼层/共11层,秦淮,3室2厅,2008年建/板塔结合,光华路 东城雅筑 楼层好 电梯三房两卫  房龄新 采光棒,33008

时光澔韵,125,精装,南 北,中楼层/共18层,雨花台,3室2厅,2010年建/板楼,时光三四期 楼栋楼层位置佳 南北通透 西边户 视野开阔,35000

天空之都,46,跃层/精装,北,高楼层/共36层,秦淮,1室1厅,2007年建/塔楼,满五唯一复式挑高三初钟英新街口张府园常府街地铁口,54499

盈家春天,77,平层/精装,南 北,中楼层/共18层,江宁,2室1厅,2004年建/板楼,盈家春天两房 采光好 看房方便 满两年 业主诚售,25658

后标营38号,77,平层/其他,南 北,中楼层/共6层,秦淮,2室2厅,1998年建/板楼,月牙湖 1999年房 大地建设房改房 双卧朝南 满五年,32300

拓园,51,平层/精装,西,中楼层/共7层,建邺,2室1厅,1996年建/板楼,茶南拓园 精装修两房 茶南板块 交通生活方便,29366

健园,53,平层/简装,南 北,低楼层/共6层,建邺,2室1厅,1996年建/板楼,南苑健园1楼采光不遮挡南北通透精装修交通便利,29926

水西门大街,60,简装,南 北,中楼层/共7层,建邺,2室1厅,1996年建/板楼,莫愁湖公园南门旁 双南双北户型 交通便捷生活便利,29159

鸿意万嘉,81,平层/精装,东 西,中楼层/共11层,江宁,3室1厅,2012年建/板塔结合,鸿意万嘉3房，交通便利，小区环境好，房子采光充足,26922

天地新城天玑座,87,平层/其他,南 北,中楼层/共6层,江宁,2室2厅,2006年建/板塔结合,南北通透 采光好 拎包入住两居室,24779

莫愁新寓郁金里,41,跃层/其他,南 北,高楼层/共6层,鼓楼,2室1厅,1989年建/板楼,莫愁新寓郁金里 带露台 低总价 看房方便 居家精装,38061

阳光里,62,平层/精装,南 北,中楼层/共7层,秦淮,2室1厅,2001年建/板楼,大明路 卧室双南 明厨明卫  户型方正 小区中间位置,30652

华汇康城,134,跃层/精装,南 北,高楼层/共6层,江宁,3室2厅,2009年建/板塔结合,华汇康城  带露台 满五年 精装修 总价低,17882

百家湖西花园伦敦城,141,平层/毛坯,南 北,高楼层/共6层,江宁,4室2厅,2006年建/板塔结合,天元西路地铁口 南北通透 采光佳 生活便利,21983

悦民公寓,116,平层/精装,南 北,高楼层/共6层,江宁,3室2厅,2005年建/板塔结合,30万精装送10平方地下室楼层佳小区停车方便近有轨电车,18503

天润城第十二街区,68,平层/精装,南 北,中楼层/共18层,浦口,2室1厅,2012年建/板塔结合,天润城十二街区 正规两房 业主诚心 满两年 实木家具,24858

天空之都,57,简装,南,高楼层/共36层,秦淮,1室0厅,2007年建/塔楼,满五唯一 朝南 交通便利 新街口 户部街 钟英火瓦巷,49922

光夏新村,57,平层/简装,东 南,中楼层/共6层,鼓楼,2室1厅,1985年建/板楼,大桥南路 盐仓桥 多伦路 满五年 中间楼层 交通方便,26906

双塘里,60,平层/精装,南 北,中楼层/共7层,秦淮,2室1厅,1997年建/板楼,三山街 中间楼层 居家装修 交通便利 配套齐全,29684

东白菜园,66,平层/简装,南 北,高楼层/共7层,秦淮,3室1厅,1988年建/板楼,大行宫 五老村本部 东白菜园3房 采光好 南北通透,34540

峨嵋岭19号,55,平层/简装,南 北,低楼层/共6层,鼓楼,3室1厅,1993年建/板塔结合,峨嵋岭19号  一楼带院子 采光不挡 南北通透,108304

后宰门东村,74,平层/精装,东 西,高楼层/共20层,玄武,2室1厅,1986年建/塔楼,后宰门 电梯两房 楼层好 采光佳 精装修,29428

洪庙一巷4号,99,平层/精装,南 北,中楼层/共7层,鼓楼,3室2厅,1995年建/板楼,房龄新正规小区赠送面积大满五年唯一,38234

苜中路3号,59,平层/其他,南 北,高楼层/共6层,秦淮,2室1厅,1985年建/板楼,月牙湖 苜蓿园大街  采光好 看房方便,26905

新大都广场,73,平层/简装,西南,中楼层/共28层,秦淮,2室1厅,2017年建/板楼,新大都广场 中间楼层 四五四医院 两室一厅,27741

大光里小区,57,平层/简装,南 北,中楼层/共7层,秦淮,2室1厅,1993年建/板塔结合,大光里小区 2室1厅 198万,34411

天地花园,59,毛坯,南 北,中楼层/共7层,秦淮,2室1厅,1996年建/板楼,紫金山下 月牙湖畔 全明户型 苜蓿园大街 交通便利,27639

华侨新村紫薇苑,164,跃层/简装,南 北,联排/共3层,玄武,3室2厅,1992年建/暂无数据,华侨新村 联排别墅 满五年 三房三卫 位置安静,36257

市政天元城,123,错层/其他,南 北,低楼层/共6层,江宁,3室2厅,2004年建/板楼,市政天元城 居家装修 户型方正 有车位 看房方便,25189

天地新城天心座,116,跃层/精装,南 北,高楼层/共6层,江宁,5室2厅,2006年建/板塔结合,顶层带阁楼，户型方正，采光好，视野开阔,24395

安国村,50,平层/精装,南 北,中楼层/共5层,建邺,2室1厅,1988年建/板塔结合,安国村精装修楼层好全明户型总价低适合刚需养老,30147

湖滨世纪花园,92,平层/精装,南 北,低楼层/共6层,江宁,2室2厅,2000年建/板楼,湖滨世纪花园 精装两房 南北通透,28935

武夷绿洲品茗苑,76,平层/简装,南 北,中楼层/共6层,江宁,2室2厅,2009年建/板楼,此房南北通透 小两房 楼层居中采光无遮挡，居住舒适,30651

教工新寓西苑,106,平层/精装,南,低楼层/共6层,江宁,3室2厅,2000年建/板塔结合,教工新寓 满五唯一 精装修 有储藏室和固定车位,25188

秦淮教师公寓,61,平层/简装,南 北,中楼层/共7层,秦淮,2室1厅,1999年建/板楼,南部新城 大明路 配套完善 采光充足 无个税,30092

晓庄村14号,63,平层/简装,南,中楼层/共6层,栖霞,2室1厅,未知年建/板楼,和燕路  晓庄村14号   彩虹广场  晓庄 双南,26955

钟阜路小区,78,平层/简装,南 北,高楼层/共6层,鼓楼,2室2厅,1988年建/板塔结合,福建路 钟阜路小区 高楼层 一南一北格局 采光视野好,26022

南方花园C组团,111,平层/精装,南 北,高楼层/共6层,江宁,3室2厅,2003年建/板楼,双龙大道南方花园  居家精装  拎包入住 采光无挡,25205

马府新村,60,精装,南 北,高楼层/共6层,秦淮,2室1厅,1990年建/板楼,非顶楼 满五年 精装修两房 南北通透 郑和公园  常府街,34734

蓝旗新村,56,平层/简装,南 北,高楼层/共6层,秦淮,2室1厅,1983年建/板楼,蓝旗新村 交通便利 配套成熟 采光无遮挡,26724

文安里小区南区,44,平层/简装,南 北,中楼层/共6层,秦淮,2室1厅,1982年建/板楼,秦虹 低楼层小两室 采光好 南北通透 配套齐全,28922

东渡国际青年城,76,精装,南,中楼层/共25层,江宁,2室1厅,2009年建/板塔结合,前方无遮挡 采光棒 满五年 税费低 诚心出售 竹小竹中,29594

明月港湾旭日湾,88,平层/简装,南 北,低楼层/共6层,江宁,2室2厅,2005年建/板楼,岔路口 明月港湾旭日湾 居家两房 南北通透 采光好,26266

宁工新寓二村,79,平层/简装,南 北,高楼层/共9层,鼓楼,3室1厅,2000年建/板楼,宁工二村三房 带电梯  龙江地铁口  配套齐全 采光充足,39859

银河湾紫苑,103,平层/精装,南 北,高楼层/共11层,江宁,3室1厅,2014年建/板楼,满五唯一税少精装修电梯房楼层好 人车分流 生活安静,24400

名嘉佳园小区,92,平层/精装,南,中楼层/共11层,江宁,2室2厅,2006年建/板楼,名嘉佳园 电梯 两室一厅 中间楼层,26837

丹佛小镇,66,平层/其他,南,低楼层/共11层,江宁,2室1厅,2009年建/板楼,此房满五年，两房朝南采光无影响,25266

明月港湾星河湾,88,平层/精装,南 北,低楼层/共6层,江宁,2室2厅,2005年建/板楼,明月港湾 一楼带院子两房  无增值税无个税 换房诚售,26125

银城东苑东篱苑,102,平层/简装,南,高楼层/共22层,玄武,2室2厅,2006年建/板楼,银城物业 楼层好 位置好 随时可看,41056

天润城第十四街区,70,平层/精装,南 北,中楼层/共18层,浦口,2室2厅,2012年建/板楼,精装修两房 满五年并唯一 采光无遮挡 小区环境优美,23685

尖角营小区,49,平层/精装,南 北,高楼层/共7层,玄武,2室1厅,1994年建/板楼,鼓楼医院地铁口 精装两房 低总价 满五唯一 诚心出售,34282

江南青年城翠湾苑,156,精装,南,高楼层/共11层,江宁,4室3厅,2005年建/板楼,江南青年城顶跃 边户 精装 格局设计好 实际使用面积大,20433

盘龙山庄,85,平层/简装,南 北,高楼层/共6层,浦口,2室2厅,2005年建/板楼,可以随意装修，户型好，采光好，交通便利，生活舒适,17339

市政天元城,118,平层/精装,南 北,中楼层/共11层,江宁,3室2厅,2007年建/板楼,市政天元城  中间楼层 采光好 改善三房 精装修,27813

新天地花园,80,平层/精装,南 北,高楼层/共7层,秦淮,3室1厅,1999年建/板楼,待出新小区 有物业 封闭式小区 阳光无遮挡 正规3室,29614

